NumPrincipalComponents,Mse
470,24602.82844038021
471,23350.77007335806
472,23539.774168170097
473,24336.084607557954
474,24200.07340325193
475,24568.779569718725
476,24101.32143297072
477,24375.659133807334
478,24094.595848121982
479,24175.25116510988
480,24300.15929740977
481,23254.379439832202
482,23238.593086990786
483,23342.296554450106
484,24408.03218270452
485,24431.090230277525
486,24339.080136605196
487,24545.162619646777
488,23779.671797412444
489,23143.504194941615
490,24064.27890576471
491,23838.36302439846
492,24149.999315358997
493,22946.489986849843
494,24589.094355847017
495,23903.538863158105
496,23931.37114245454
497,24031.518063503416
498,23497.819609162703
499,24164.017784776748
500,23941.430562684855
501,22977.10960307467
502,23893.463205560987
503,24434.654748875444
504,24786.73907245205
505,23703.023690441365
506,23003.398212116004
507,22788.716683693947
508,24640.3596163358
509,23766.047860988863
510,23065.939666774346
511,24089.14705079435
512,23939.712996185164
513,24188.62874729845
514,24507.488162348247
515,23378.339693428028
516,24243.47807426299
517,23790.80720037272
518,23321.502105215368
519,24011.033982110286
520,23538.20600998427
521,24965.471006154596
522,23495.756646271915
523,24406.82979446007
524,23905.468273772374
525,22773.895816892797
526,24857.812228078154
527,23283.436213670055
528,23221.380086107154
529,23802.234182314445
530,24616.701629612246
531,23544.50775429272
532,23507.750931584458
533,23122.459823911726
534,24045.91947344668
535,24396.733464324217
536,23687.15437881678
537,22291.334988991035
538,23597.921852159438
539,23856.79166563844
540,24014.294934041754
541,22883.044550131708
542,23535.33413979361
543,23914.93272158156
544,23619.661170841162
545,22581.13106135714
546,24392.840744293233
547,23794.309180726934
548,23739.94309152961
549,24293.65002566235
550,22906.668197160157
551,23173.015207368935
552,24393.451851257367
553,24867.27693928032
554,23116.574704964685
555,23270.84833749545
556,23463.807315593647
557,23393.056326777267
558,22922.580809982315
559,23072.56716631097
560,23780.360538885387
561,23513.32957332817
562,23104.330327477757
563,23296.427332513922
564,24727.74208204793
565,22577.402318425186
566,24082.998657327884
567,23319.74202651478
568,23800.384472892878
569,23989.541182239882
570,23774.11807177246
571,24337.413066016867
572,22643.1974289694
573,22950.191228586835
574,23247.4090504775
575,23630.589975409886
576,24301.521104771975
577,23316.135539814255
578,23726.603919807
579,23462.08963918166
580,22753.001092280054
581,24154.06996582146
582,24242.52881807789
583,23232.481286052753
584,21949.93556248092
585,24354.228447080128
586,24402.632556742075
587,22788.580408573802
588,23403.94421835154
589,23979.89504934962
590,23359.74213212079
591,23342.155341534857
592,24144.457869734353
593,24014.150027315394
594,23718.338521353537
595,23871.19628883848
596,24408.164982587758
597,23572.772400433143
598,23850.36981735318
599,24109.614303913913
600,23362.694282712633
601,23398.59392269769
602,24149.342034573387
603,22089.19241911134
604,22958.511956246184
605,25090.687619499517
606,23566.77541180289
607,22991.20340386611
608,22989.570869008257
609,24376.071561610785
610,22580.438330521993
611,22981.287374553543
612,23605.05627356189
613,23087.672325356063
614,23464.052243428774
615,23469.863982113955
616,23515.27978922965
617,22790.68113704764
618,23441.52655431292
619,23568.77239117192
620,23098.513512865382
621,22704.489421640596
622,22996.07674791073
623,23414.147383472497
624,23694.103252830744
625,23187.19779202132
626,22896.595326520164
627,23328.996869647737
628,23325.94025494382
629,23453.10660128324
630,23735.417319340482
631,23084.72605975877
632,23261.42625003217
633,22482.69996837708
634,23161.768743487217
635,22681.403385129677
636,22853.63113148957
637,21751.373628591704
638,22835.474549161918
639,22231.476365255967
640,23076.309452350913
641,22231.147493540117
642,23424.385316087144
643,22354.673564388035
644,22721.2204595256
645,22575.13832260108
646,23464.144864580652
647,22554.64561156977
648,21647.32009743939
649,24764.340558029293
650,23049.884081878714
651,23781.675000050698
652,24127.58389805406
653,22239.003482005617
654,23564.687242483054
655,23820.97617700651
656,23000.886360344124
657,22777.996202572416
658,23732.38249558302
659,22985.018868389947
660,23966.095816742018
661,21676.68690418736
662,22731.577857749966
663,22770.566001245825
664,22925.680588191564
665,21776.731381212532
666,24699.430566035502
667,23607.661275037695
668,21913.89515396434
669,21891.143105183746
670,23760.613540896924
671,23372.37175434775
672,21635.585630306028
673,22347.48666274402
674,22712.711043975964
675,22466.353184474625
676,22798.7449724151
677,22015.280686399838
678,22912.624905725035
679,23407.283806746953
680,21939.48401592881
681,22439.01287729736
682,22089.872240771845
683,20923.61856405935
684,23013.267594226574
685,22196.889191769988
686,22343.71481277973
687,21896.7133309081
688,23774.91204489314
689,22581.644624931796
690,21941.542069368563
691,22373.230656054326
692,22836.233732842986
693,22248.925252953573
694,21392.255847664434
695,22128.263223082104
696,22977.192314624917
697,22464.484344927223
698,22209.83674663457
699,22968.309900700417
700,21925.1779486109
701,22409.309262153605
702,21008.05200383996
703,23023.934231086467
704,22774.642062631025
705,22144.478490938705
706,22478.292153827537
707,21573.78277508431
708,22001.811285987176
709,21866.57128218447
710,22293.584017077206
711,22315.547059878165
712,22759.679819545734
713,22415.81384527916
714,22153.101977958664
715,22603.340066118926
716,22547.827999142595
717,22051.303114351897
718,23560.68691918066
719,22126.837831111705
720,21822.77401055282
721,21094.350440549966
722,21304.48792768171
723,22638.83100993636
724,22208.086113796286
725,22310.297947229392
726,23970.834961667777
727,23420.646892417175
728,21985.318325419536
729,22379.300267472656
730,22348.291133176535
731,22620.13100922404
732,23136.561513767047
733,22425.531410255688
734,22627.276399369017
735,22289.399534218035
736,21854.957820120693
737,20301.922010961534
738,21326.12853197919
739,22928.76129748816
740,22310.70897620861
741,22560.93194638076
742,21728.105474996744
743,21854.573445845028
744,21305.17640840405
745,21333.252377844772
746,22251.268224287527
747,20780.398400558373
748,21368.931171018998
749,22098.87544826072
750,22510.800574231675
751,22577.025952239575
752,21151.953599282853
753,22590.458760891634
754,21427.109239640147
755,22904.553396509935
756,22070.068924209998
757,22357.46954708238
758,21501.89862307543
759,22832.73652664439
760,23355.155855568148
761,21403.111752765548
762,22210.01815327335
763,21351.112945241443
764,21991.048109488635
765,21603.321050308445
766,21755.109761053514
767,21425.612458373915
768,22938.29079681153
769,22698.37459175509
770,21609.403240739117
771,21472.441027616587
772,21727.961431569758
773,22499.999080884445
774,23208.13313495932
775,21215.694904182703
776,22119.98741445324
777,21987.83512112253
778,21772.535320270432
779,21947.14558506931
780,22191.276314018265
781,22802.59695051822
782,21668.928850652635
783,21184.03710881758
784,22184.547957882078
785,22555.598801876353
786,22443.70215870848
787,21804.31716815835
788,21357.061799032283
789,21423.92203462063
790,21630.4369080242
791,21352.937676907048
792,21345.763990180585
793,20215.193203094463
794,21533.785081132126
795,23152.442538762807
796,23214.503221459905
797,21415.610322147608
798,21964.94666537639
799,21825.206614888553
800,22757.700460675063
801,22030.474420993036
802,21192.981531978585
803,22052.80884251764
804,21279.841952976214
805,21520.874134183665
806,20774.026855722415
807,21019.07588409746
808,22008.723653676527
809,22003.398285636475
810,21688.185380673607
811,22033.091480107214
812,22303.785660311165
813,21929.837415492882
814,22506.092130471858
815,21722.383963435557
816,21490.22006671021
817,21954.08115138025
818,21406.248346800174
819,21153.018391997168
820,22133.177694668182
821,21989.472959752784
822,20971.169064915823
823,21359.245747896603
824,21707.78611872894
825,22044.73442201443
826,21281.701403261693
827,21343.928803241328
828,21686.62860939897
829,21417.46560362408
830,21852.07145520756
831,22269.779801563327
832,21859.61954545692
833,21735.18181181584
834,22238.523978783804
835,21197.71452105874
836,20751.608657343644
837,22567.29548151527
838,22104.31816972835
839,20451.51434269858
840,22475.728686812006
841,21773.89110755352
842,23168.528535466117
843,20897.879890499964
844,20443.47689887592
845,21570.85179432463
846,22374.540676145916
847,21296.979115479342
848,20729.7916411827
849,21138.3984436426
850,22460.92878571492
851,21138.15702042574
852,21507.61938873482
853,21400.237020191238
854,21529.365668116174
855,20727.9947104378
856,21558.14514721782
857,21779.515924121188
858,21195.11960973342
859,20730.37705227566
860,20507.201521544463
861,20744.195079502497
862,20831.594766496037
863,21270.730164411016
864,20961.509459831897
865,19976.290788522416
866,20722.81609124595
867,21791.957430998955
868,21716.247696911418
869,20916.512243340516
870,21120.81928000162
871,20932.177915555734
872,20969.311793626202
873,18952.06572635724
874,21458.207168191286
875,20770.61958748423
876,20168.521129425128
877,21509.571388529348
878,19743.258024177965
879,20223.292890652527
880,20567.11262710951
881,21817.119053382758
882,20388.64116872881
883,21086.98850909137
884,20157.956604959334
885,20665.6964072573
886,20907.34697479888
887,20215.447204282824
888,20741.616205996597
889,21848.554347652425
890,20850.783915992317
891,21596.36921519643
892,21448.270225587166
893,20929.326441257486
894,21066.191176670345
895,21120.224488742486
896,20710.487553776875
897,36403.451343026354
898,19919.528180082285
899,20671.20602240867
900,40110.62691623337
901,21474.179027096703
902,38906.6373695134
903,35181.09262370667
904,20055.06325481602
905,19963.10460096761
906,22474.969725610965
907,21254.10245535654
908,20170.374068756442
909,20112.72821355968
910,20750.53984286428
911,20327.908518158663
912,21185.169398675018
913,20470.78770797832
914,20493.96356974087
915,20109.62988793009
916,19883.834934170918
917,20715.787307607625
918,20743.32666410696
919,20632.640399027052
920,19881.666565562544
921,20124.634373239103
922,23931.110698877477
923,19764.32362256951
924,22608.832354187987
925,19901.612838930276
926,21096.34224557832
927,20359.095270280348
928,20418.960212868285
929,19408.158754894088
930,19746.569897896235
931,20684.985769888346
932,20996.46879645857
933,20236.1738065287
934,19228.28789481079
935,20530.90906598831
936,20408.517577544157
937,19497.801370515408
938,20103.573437039173
939,20069.541862380564
940,20382.67940550452
941,19832.005622100944
942,20170.264054471834
943,20039.595228104332
944,19766.747113126734
945,20912.17679533214
946,21035.75190317071
947,31141.028098253504
948,19813.09215132111
949,20175.732124589835
950,19287.3679062579
951,19620.61758278662
952,19154.44807048001
953,19528.709216501204
954,20928.56711237216
955,31939.526897599808
956,19554.23565245287
957,31730.23176760593
958,19015.757697313704
959,19860.624203999218
960,19600.847790564432
961,18853.951457331943
962,19623.155269884082
963,19944.569397735926
964,21019.927878737904
965,19859.015014097724
966,51063.431722385816
967,19445.97025552088
968,20014.53764686197
969,20751.565736711564
970,21135.876817391723
971,19524.002479663843
972,33551.66968349726
973,19805.504765867543
974,19525.676588696464
975,19515.96228901957
976,19626.723701196843
977,20375.655381917968
978,19930.777886203712
979,19889.83553175214
980,19597.181314552472
981,18452.872033290452
982,30954.40888702802
983,19854.108995283033
